# GATE-A-GOOGLE-FORWARD-RESTATE baseline snapshot
# taken 2026-08-26 (after today's 08:08-09:00Z google forward fires completed, before tomorrow's ~08:08Z tick)
# client_id=60e6dd99-fd42-466f-870f-48eb407835e8  Bath Fitter | O'Gorman Bros  account=6871055643
# platform=google entity_level=account breakdown_type='' breakdown_value=''
date	spend	impressions	clicks	conversions	conversion_value	synced_at
2026-07-27	2101.41	1936	121	17	9	2026-07-28 08:13:30.873062+00
2026-07-28	2765.34	1974	153	35	19	2026-07-29 08:13:20.591373+00
2026-07-29	2512.04	1831	134	28	14	2026-07-30 08:13:49.09004+00
2026-07-30	2468.29	1723	134	13.002782	7	2026-07-31 08:13:37.659093+00
2026-07-31	2405.62	1471	131	0	0	2026-08-01 08:13:11.532361+00
2026-08-01	2546.36	1473	138	0.017025	0.02	2026-08-02 08:12:24.958618+00
2026-08-02	2579.91	1589	142	1	0	2026-08-03 08:13:11.553825+00
2026-08-03	2061.59	1543	129	11.999893	6	2026-08-04 08:11:48.523657+00
2026-08-04	2251.12	1235	105	28.005675	14.01	2026-08-05 08:16:35.122371+00
2026-08-05	3434.68	2102	138	19	13	2026-08-06 08:29:28.617464+00
2026-08-06	3521.92	2142	163	19	10	2026-08-07 08:09:14.42177+00
2026-08-07	2181.95	1589	113	29	15	2026-08-08 08:13:25.58286+00
2026-08-08	2232.7	1807	149	24	13	2026-08-09 08:10:52.273031+00
2026-08-09	2714.7	2094	153	25	13	2026-08-10 08:13:24.827528+00
2026-08-10	3363.54	1710	140	27	18	2026-08-11 08:13:47.110981+00
2026-08-11	2518.29	1153	108	33.9773	18.98	2026-08-12 08:13:00.438304+00
2026-08-12	2301.22	1479	120	25.994325	13.99	2026-08-13 08:15:10.05558+00
2026-08-13	2928.34	2184	163	24	14	2026-08-14 08:14:57.820242+00
2026-08-14	2378.09	1727	117	24	14	2026-08-15 08:13:25.994515+00
2026-08-15	3069.26	1860	150	41	21	2026-08-16 08:13:02.425571+00
2026-08-16	2061.21	1556	100	13	9	2026-08-17 08:14:48.511883+00
2026-08-17	3004.86	2299	158	26	14	2026-08-18 08:13:32.037003+00
2026-08-18	3166.61	2200	141	40	22	2026-08-19 08:13:20.069327+00
2026-08-19	2551.28	1833	136	50	29	2026-08-20 08:14:17.271062+00
2026-08-20	2435.23	1776	129	21	11	2026-08-21 08:13:09.371877+00
2026-08-21	2638.97	1767	125	23	12	2026-08-22 08:13:12.407983+00
2026-08-22	2366.83	1665	121	22	11.5	2026-08-23 08:13:14.648346+00
2026-08-23	2180.46	1679	108	22	12.5	2026-08-24 08:14:09.751785+00
2026-08-24	3129.41	1790	154	22.997325	13	2026-08-25 08:14:21.930711+00
2026-08-25	2431.69	1918	126	7	5	2026-08-26 08:25:47.415564+00
